# NEST version: 3.6.0
# RecordingBackendASCII version: 2
sender	time_ms
1416	159.400
11740	159.700
5068	160.100
6444	160.800
7712	160.700
8972	160.500
10188	160.600
11572	160.800
168	161.700
328	161.500
432	161.100
1976	161.800
2056	161.700
4116	161.400
4956	161.400
5188	161.800
5644	161.800
7144	161.100
7572	161.700
11416	161.100
500	162.700
1380	162.700
1696	163.000
1828	162.100
2188	162.300
2336	162.900
4184	163.000
4500	162.400
5372	162.800
5620	162.900
5864	162.900
6304	162.400
7176	162.200
8116	162.900
8652	162.300
9332	162.100
10688	162.700
11972	163.000
1216	163.600
1272	163.200
1808	163.800
2680	163.800
3700	163.800
4704	164.000
6692	163.900
7944	163.600
8184	163.500
8452	163.700
8848	163.400
9228	163.600
11988	163.200
68	164.400
1148	165.000
1196	164.700
1844	164.900
2820	165.000
3240	165.000
3264	164.800
3592	164.100
3752	164.300
4348	164.200
5228	164.400
5384	164.900
5564	164.200
5904	164.100
7308	164.900
7408	164.700
10048	164.800
10700	164.300
10740	164.400
10784	164.300
11356	164.800
11748	164.800
12308	164.500
312	165.900
1032	165.400
1288	165.600
1464	165.800
1824	165.200
1900	165.800
2180	165.100
3016	165.900
5560	165.400
6728	165.400
7496	166.000
8924	165.700
9412	165.900
10420	165.500
12060	165.700
40	166.600
340	166.800
1720	166.200
1764	166.300
1852	166.700
2308	166.300
2492	166.600
2512	166.500
5308	167.000
6172	166.600
7040	166.700
7068	166.900
7724	166.400
7936	166.700
8364	166.500
8772	166.700
9404	166.900
10064	166.600
10728	166.700
11648	166.600
12092	166.300
552	167.200
740	167.900
4224	167.800
5072	168.000
6760	167.300
6900	167.300
7016	167.400
7860	167.600
8020	167.300
9004	167.300
9316	167.200
10280	167.600
10412	167.900
10600	167.400
11120	167.500
11552	167.800
11672	167.700
11936	167.900
12472	167.800
156	168.700
240	168.200
1000	168.300
1876	169.000
3000	168.300
3532	168.200
4460	168.900
4488	168.600
4608	168.800
5048	168.200
5240	168.600
5888	168.300
6236	168.700
6372	169.000
6480	168.300
8420	168.700
8564	168.500
9180	168.100
10180	168.600
10672	168.500
11028	168.600
11744	168.300
11760	168.600
488	169.500
1124	169.500
1644	169.200
2216	169.900
2316	169.200
3348	169.100
3816	169.500
4708	170.000
5776	169.700
5832	169.300
6100	170.000
6108	169.100
6844	169.800
10168	169.600
12260	169.400
832	170.700
2164	171.000
2428	170.500
3988	170.700
4632	171.000
5176	170.100
5352	170.600
5480	170.700
5744	170.600
6324	170.500
6848	170.800
6956	170.700
7360	170.200
7452	170.800
7632	171.000
8064	170.300
8196	170.700
8724	170.400
8752	170.500
9696	170.500
9772	170.800
10328	170.400
536	171.500
764	171.300
828	171.300
1080	171.200
1280	171.900
1432	171.100
1676	171.900
1792	171.400
2576	171.800
3336	171.800
4792	171.500
5024	171.900
5180	171.200
5232	171.200
5996	171.300
7272	172.000
7616	171.700
8216	171.800
8352	171.100
8660	171.300
8732	171.300
9080	171.700
9336	171.900
10332	171.300
10460	172.000
12148	171.600
12188	171.800
256	172.300
584	172.400
620	173.000
1492	173.000
2228	172.300
3200	172.100
3948	173.000
4032	172.200
4200	173.000
4400	172.700
4712	172.300
7708	172.400
8820	172.900
9392	172.900
10392	172.800
10472	172.900
10828	172.900
11764	172.900
12032	172.100
12312	172.200
12428	172.800
60	173.700
448	173.300
908	173.500
1144	173.400
1560	173.800
2352	173.100
2420	173.900
2780	173.700
3004	173.300
3136	173.900
3172	173.200
3776	173.800
5516	173.100
6684	173.800
7120	173.400
7320	173.700
7688	173.700
7772	173.300
9680	173.400
10084	173.500
10376	173.500
10448	173.600
11556	173.200
12280	173.300
816	174.800
4988	174.800
5148	174.400
5860	175.000
6276	174.200
6808	174.200
6976	174.700
7060	174.900
7508	174.100
9432	174.700
10992	175.000
11736	174.700
11884	174.700
12252	175.000
1512	175.700
2836	175.500
2972	175.400
2992	175.900
3328	176.000
3416	175.400
3712	175.800
4216	175.200
4604	175.300
4812	176.000
6828	175.500
7608	175.900
7916	175.500
9192	175.600
9308	175.400
9552	175.300
9876	176.000
9884	175.300
10652	176.000
11164	175.800
12080	175.700
12404	175.600
264	176.200
1352	176.700
1484	176.200
3976	176.400
4136	176.800
4188	176.900
7372	176.500
7816	176.700
8152	176.800
8284	176.300
8320	176.700
8736	176.600
10312	176.900
10832	176.800
11264	176.700
11732	176.400
11992	176.300
12000	176.400
12176	176.400
160	177.800
1640	177.300
1916	178.000
2060	177.500
2320	177.200
3276	177.600
3552	177.300
4456	177.700
6888	177.700
7552	177.400
8836	177.200
9684	177.600
10176	177.900
10276	177.600
10668	177.300
10836	177.700
11192	177.700
11516	177.700
11696	177.900
12132	177.500
64	178.800
3032	178.100
3204	178.700
3920	178.700
4904	178.300
4952	178.500
5248	178.300
7620	178.900
8396	178.500
11504	178.100
868	179.500
1020	179.300
1344	180.000
1500	179.600
3828	179.300
4784	179.500
5580	179.100
6768	179.500
7072	179.400
7756	179.400
8476	179.500
8528	179.400
9740	179.400
11084	179.400
11156	179.200
44	180.200
164	180.200
336	181.000
1064	180.900
1340	180.400
1708	180.200
1716	181.000
2044	180.100
2300	181.000
2400	180.300
2616	180.800
2656	180.500
2856	180.800
3184	180.900
3956	181.000
5452	180.500
6116	180.200
6332	181.000
6416	180.500
8168	180.900
8388	181.000
8508	180.800
9040	180.600
9172	181.000
9348	180.300
10424	180.800
10616	180.300
10792	180.100
11256	180.900
11804	180.300
208	181.700
1120	181.400
2380	181.800
2548	181.700
2608	182.000
2996	181.800
3368	181.800
4396	181.100
5396	181.600
5400	181.700
6080	181.400
6208	181.500
6364	181.900
7220	181.200
7628	181.900
7968	181.300
8172	181.400
9224	181.700
10660	181.800
324	182.900
1820	182.400
2540	182.400
2624	182.300
3524	182.100
4080	182.700
5976	182.500
6004	182.100
6516	182.300
6528	183.000
7164	182.300
8340	182.700
10692	182.700
12216	182.400
12376	182.300
12492	182.700
1156	183.500
3304	183.200
5044	183.800
6052	183.300
6212	184.000
6304	183.500
6892	183.600
7036	183.800
7808	183.100
8032	183.800
8204	183.100
8324	183.500
8960	183.300
9568	183.700
9668	183.200
9700	183.400
10136	183.100
11268	183.100
148	184.300
396	184.900
2412	184.300
2520	184.800
2736	184.500
3380	184.900
3440	184.600
4092	184.600
